0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,1
0,7,0
0,8,1
0,9,1
0,10,1
1,1,0
1,2,0
1,3,0
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
2,1,0
2,2,0
2,3,1
2,4,0
2,5,1
2,6,0
2,7,1
2,8,0
2,9,1
2,10,0
3,1,0
3,2,0
3,3,1
3,4,1
3,5,0
3,6,1
3,7,0
3,8,1
3,9,1
3,10,1
4,1,1
4,2,0
4,3,0
4,4,1
4,5,0
4,6,1
4,7,0
4,8,1
4,9,1
4,10,1
5,1,0
5,2,0
5,3,1
5,4,1
5,5,1
5,6,0
5,7,1
5,8,1
5,9,1
5,10,1
6,1,0
6,2,0
6,3,1
6,4,1
6,5,1
6,6,1
6,7,1
6,8,0
6,9,1
6,10,1
7,1,0
7,2,0
7,3,0
7,4,1
7,5,0
7,6,0
7,7,1
7,8,1
7,9,1
7,10,1
8,1,0
8,2,0
8,3,1
8,4,0
8,5,0
8,6,1
8,7,1
8,8,0
8,9,1
8,10,1
9,1,1
9,2,0
9,3,1
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
9,10,1
10,1,1
10,2,0
10,3,0
10,4,1
10,5,0
10,6,1
10,7,1
10,8,0
10,9,1
10,10,1
11,1,0
11,2,0
11,3,0
11,4,0
11,5,1
11,6,0
11,7,0
11,8,1
11,9,1
11,10,1
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,1
12,7,0
12,8,1
12,9,0
12,10,1
13,1,1
13,2,0
13,3,1
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,1
14,1,0
14,2,0
14,3,0
14,4,1
14,5,0
14,6,1
14,7,0
14,8,1
14,9,1
14,10,1
15,1,1
15,2,0
15,3,1
15,4,1
15,5,1
15,6,1
15,7,0
15,8,1
15,9,1
15,10,1
16,1,0
16,2,1
16,3,0
16,4,1
16,5,0
16,6,0
16,7,0
16,8,1
16,9,0
16,10,1
17,1,0
17,2,1
17,3,0
17,4,0
17,5,1
17,6,0
17,7,1
17,8,1
17,9,1
17,10,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,1
18,6,1
18,7,1
18,8,1
18,9,1
18,10,0
19,1,0
19,2,0
19,3,0
19,4,1
19,5,0
19,6,1
19,7,1
19,8,1
19,9,1
19,10,1
20,1,0
20,2,0
20,3,0
20,4,0
20,5,1
20,6,1
20,7,1
20,8,1
20,9,1
20,10,1
21,1,0
21,2,1
21,3,0
21,4,1
21,5,1
21,6,1
21,7,1
21,8,1
21,9,1
21,10,1
22,1,1
22,2,1
22,3,1
22,4,0
22,5,0
22,6,1
22,7,0
22,8,0
22,9,1
22,10,0
23,1,0
23,2,0
23,3,1
23,4,0
23,5,1
23,6,1
23,7,1
23,8,1
23,9,1
23,10,0
24,1,1
24,2,1
24,3,0
24,4,1
24,5,0
24,6,1
24,7,0
24,8,1
24,9,1
24,10,1
25,1,0
25,2,0
25,3,0
25,4,0
25,5,0
25,6,1
25,7,1
25,8,1
25,9,1
25,10,1
26,1,0
26,2,0
26,3,1
26,4,0
26,5,0
26,6,0
26,7,1
26,8,0
26,9,1
26,10,0
27,1,1
27,2,1
27,3,0
27,4,0
27,5,0
27,6,1
27,7,1
27,8,1
27,9,1
27,10,0
28,1,0
28,2,1
28,3,0
28,4,1
28,5,1
28,6,0
28,7,1
28,8,1
28,9,1
28,10,1
29,1,0
29,2,0
29,3,0
29,4,1
29,5,1
29,6,1
29,7,1
29,8,1
